version,fecha_actualizacion,commit_hash,rama,autor,nombre_agente,resumen_cambio,modelo,temperatura,top_p,max_tokens,tools_mcp,status,eval_score,dependencias,notas
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,copywriter-listings,Migración inicial al sistema de tracking,claude-sonnet-4-20250514,0.7,1.0,4096,web_search,activo,,scraper-redsearch|analista-inventario,Sistema multi-AI de copywriting (Claude + OpenAI + Gemini) para listings inmobiliarios
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,webgenesis,Migración inicial al sistema de tracking,claude-opus-4-6,0.4,1.0,8192,web_search|crawler|serp_api|pagespeed|screenshot,activo,,,"Sistema multi-agente de 5 fases para inteligencia competitiva y generación de sitios web"
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,analista-inventario,Migración inicial al sistema de tracking,claude-sonnet-4-20250514,0.3,1.0,4096,google_drive|pdf_parser,activo,,scraper-redsearch,Parsea PDFs/Excel de Google Drive para extraer inventario de unidades
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,analista-rentas,Migración inicial al sistema de tracking,sklearn-gradient-boosting,0,1.0,0,supabase,activo,,scraper-rentals,ML rental estimation con GradientBoosting y métricas financieras
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-lanzamientos,Migración inicial al sistema de tracking,n/a,0,1.0,0,web_scraping,activo,,,Scraper de 3 capas para detectar nuevos lanzamientos inmobiliarios en México
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-redsearch,Migración inicial al sistema de tracking,n/a,0,1.0,0,web_scraping,activo,,enrich-redsearch,Extrae listings del marketplace TheRedSearch (Yucatan Peninsula)
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-rentals,Migración inicial al sistema de tracking,n/a,0,1.0,0,web_scraping,activo,,,Scraper de rentas de Lamudi.com.mx con GitHub Actions cron
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,enrich-redsearch,Migración inicial al sistema de tracking,n/a,0,1.0,0,web_scraping,activo,,scraper-redsearch,Enriquece datos de TheRedSearch visitando páginas de detalle
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-easybroker,Migración inicial al sistema de tracking,n/a,0,1.0,0,easybroker_api,activo,,,Scraper de rentas via API REST oficial de EasyBroker
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-facebook,Migración inicial al sistema de tracking,n/a,0,1.0,0,playwright,activo,,,Scraper de rentas de Facebook Marketplace con Playwright
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-inmuebles24,Migración inicial al sistema de tracking,n/a,0,1.0,0,undetected_chromedriver,activo,,,Scraper de Inmuebles24 con bypass anti-bot Cloudflare
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-inmuebles24-rentas,Migración inicial al sistema de tracking,n/a,0,1.0,0,playwright,activo,,,Scraper de rentas de Inmuebles24 vía Playwright
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-mercadolibre,Migración inicial al sistema de tracking,n/a,0,1.0,0,mercadolibre_api,activo,,,Scraper de rentas via API pública de MercadoLibre
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-icasas,Migración inicial al sistema de tracking,n/a,0,1.0,0,playwright,activo,,,Scraper de rentas de iCasas.mx con infinite scroll
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-properstar,Migración inicial al sistema de tracking,n/a,0,1.0,0,playwright,activo,,,Scraper de rentas de Properstar.com.mx
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,scraper-headless,Migración inicial al sistema de tracking,n/a,0,1.0,0,playwright,activo,,,Scraper headless genérico para portales JS-heavy (Nocnok)
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,dashboard-inventario,Migración inicial al sistema de tracking,n/a,0,1.0,0,,activo,,,Dashboard Streamlit CRM de inventario y proyectos inmobiliarios
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,dashboard-lanzamientos,Migración inicial al sistema de tracking,n/a,0,1.0,0,,activo,,scraper-lanzamientos,Dashboard Streamlit de lanzamientos inmobiliarios detectados
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,upload-sheets,Migración inicial al sistema de tracking,n/a,0,1.0,0,google_sheets,activo,,scraper-redsearch,Sube CSV de marketplace a Google Sheets
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,setup-rentals,Migración inicial al sistema de tracking,n/a,0,1.0,0,supabase,activo,,,Setup de tablas de estimación de rentas en Supabase
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,ai-delegate,Migración inicial al sistema de tracking,gpt-4o-mini,0.3,1.0,2048,,activo,,,Script bash para delegar tareas simples a OpenAI/Gemini
v1.0.0,2026-03-18 12:00,3c4f9a9,feat/rental-analyst,claude-code,publish-supabase,Migración inicial al sistema de tracking,n/a,0,1.0,0,supabase,activo,,scraper-redsearch,Publica developments en bulk desde CSV a Supabase
